IATA,Direction,Name,City,Country,Airlines,lat,lon,Distance_km,FlightTime_hr
LYS,A,Lyon - Satolas,Lyon,France,"['El Al Israel Airlines', 'Transavia France']",45.7264,5.09083,2975.1,4h 6m
RIX,A,Riga,Riga,Latvia,['Air Baltic'],56.9236,23.9711,2893.5,4h
FRA,D,Frankfurt,Frankfurt,Germany,"['Brussels Airlines', 'Delta Airlines', 'El Al Israel Airlines', 'Lufthansa', 'Sas', 'United Airlines']",50.0264,8.54313,2956.9,4h 5m
CDG,D,Paris-charles De Gaulle,Paris,France,"['Aero Mexico', 'Air France', 'Arkia Israeli Airlines', 'El Al Israel Airlines', 'Sas']",49.0128,2.55,3288.6,4h 28m
MUC,D,Munich,Munich,Germany,"['Brussels Airlines', 'El Al Israel Airlines', 'Lufthansa', 'Sas']",48.3538,11.7861,2657.1,3h 44m
ORY,D,Paris-orly,Paris,France,['Transavia France'],48.7253,2.35944,3289.2,4h 28m
LYS,D,Lyon - Satolas,Lyon,France,"['El Al Israel Airlines', 'Transavia France']",45.7264,5.09083,2975.1,4h 6m
ZRH,D,Zurich,Zurich,Switzerland,"['El Al Israel Airlines', 'Sas', 'Swiss Int`l Airlines']",47.4647,8.54917,2812.4,3h 55m
TBS,A,Tbilisi,Tbilisi,Georgia,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Georgian Airways', 'Israir Airlines']",41.6692,44.9547,1396.7,2h 15m
MRV,A,Mineralnye Vody,Mineralnye Vody,Russian Federation,"['Azimuth Airlines', 'Red Wings Airlines']",44.2251,43.0819,1533.0,2h 25m
MRV,D,Mineralnye Vody,Mineralnye Vody,Russian Federation,"['Azimuth Airlines', 'Red Wings Airlines']",44.2251,43.0819,1533.0,2h 25m
BKK,D,Bangkok Intl.-suvarnabhumi,Bangkok,Thailand,"['El Al Israel Airlines', 'Qantas Airways', 'Thai Airways', 'Vietnam Airlines']",13.6811,100.747,6953.7,8h 47m
NRT,D,Tokyo Intl.-narita,Tokyo,Japan,"['El Al Israel Airlines', 'Qantas Airways']",35.7647,140.386,9222.6,11h 27m
RMO,A,Chisinau,Chisinau,Moldova,"['El Al Israel Airlines', 'Flyone', 'Hisky']",46.9277,28.931,1732.7,2h 40m
BER,A,Berlin Brandenburg Intl,Berlin,Germany,"['Blue Bird Airways', 'El Al Israel Airlines', 'Israir Airlines', 'Sas']",52.36217,13.50067,2846.4,3h 57m
RMO,D,Chisinau,Chisinau,Moldova,"['El Al Israel Airlines', 'Flyone', 'Hisky']",46.9277,28.931,1732.7,2h 40m
BCN,A,Barcelona,Barcelona,Spain,"['Arkia Israeli Airlines', 'Blue Bird Airways', 'El Al Israel Airlines', 'Iberia']",41.2971,2.07846,3087.4,4h 14m
LAX,D,Los Angeles,Los Angeles,United States,"['Aero Mexico', 'Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation']",33.9425,-118.40805,12189.3,14h 56m
MIA,D,Miami International,Miami,United States,"['Aerolineas Argentinas S.a.', 'Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation']",25.79536,-80.29012,10627.1,13h 6m
BOS,D,Boston-logan Int,Boston,United States,"['Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation']",42.36294,-71.00639,8837.9,11h
STN,A,London -stansted,Stansted,United Kingdom,['Arkia Israeli Airlines'],51.885,0.235,3568.0,4h 48m
BKK,A,Bangkok Intl.-suvarnabhumi,Bangkok,Thailand,"['El Al Israel Airlines', 'Qantas Airways', 'Thai Airways', 'Vietnam Airlines']",13.6811,100.747,6953.7,8h 47m
MAD,A,Madrid,Madrid,Spain,"['Aero Mexico', 'Aerolineas Argentinas S.a.', 'Air Europa', 'China Eastern Airlines Co. Ltd', 'El Al Israel Airlines', 'Iberia', 'Iberia Express']",40.4936,-3.56676,3551.4,4h 47m
HKT,A,Phuket,Phuket,Thailand,"['El Al Israel Airlines', 'Thai Airways']",8.1132,98.3169,7036.7,8h 53m
MRS,D,Marseille,Marseille,France,"['Air France', 'Air Portugal', 'El Al Israel Airlines', 'Transavia France']",43.43927,5.22142,2885.8,4h
BCN,D,Barcelona,Barcelona,Spain,"['Arkia Israeli Airlines', 'Blue Bird Airways', 'El Al Israel Airlines', 'Iberia']",41.2971,2.07846,3087.4,4h 14m
MAD,D,Madrid,Madrid,Spain,"['Aero Mexico', 'Aerolineas Argentinas S.a.', 'Air Europa', 'China Eastern Airlines Co. Ltd', 'El Al Israel Airlines', 'Iberia', 'Iberia Express']",40.4936,-3.56676,3551.4,4h 47m
TIV,D,Tivat,Tivat,Montenegro,"['El Al Israel Airlines', 'Israir Airlines']",42.4047,18.7233,1835.7,2h 48m
VCE,D,Venice,Venice,Italy,['El Al Israel Airlines'],45.5053,12.3519,2451.5,3h 29m
VAR,A,Varna,Varna,Bulgaria,"['Arkia Israeli Airlines', 'Israir Airlines', 'Wizzair']",43.2321,27.8251,1391.8,2h 14m
TIA,D,Tirana,Tirana,Albania,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines']",41.4147,19.7206,1706.1,2h 38m
VAR,D,Varna,Varna,Bulgaria,"['Israir Airlines', 'Wizzair']",43.2321,27.8251,1391.8,2h 14m
LED,A,St. Petersburg,S.petersburg,Russian Federation,['Red Wings Airlines'],59.8003,30.2625,3108.2,4h 15m
BER,D,Berlin Brandenburg Intl,Berlin,Germany,"['Blue Bird Airways', 'El Al Israel Airlines', 'Israir Airlines', 'Sas']",52.36217,13.50067,2846.4,3h 57m
VNO,A,Vilnius Intl,Vilnius,Lithuania,['Wizzair'],54.6341,25.2858,2626.0,3h 41m
STN,D,London -stansted,Stansted,United Kingdom,['Arkia Israeli Airlines'],51.885,0.235,3568.0,4h 48m
VNO,D,Vilnius Intl,Vilnius,Lithuania,['Wizzair'],54.6341,25.2858,2626.0,3h 41m
SZX,A,Shenzhen Baoan Int.,Shenzhen,China,['Hainan Airlines'],22.6393,113.811,7713.0,9h 40m
DUS,A,Dusseldorf,Dusseldorf,Germany,['Eurowings'],51.2895,6.76678,3138.2,4h 18m
DUS,D,Dusseldorf,Dusseldorf,Germany,['Eurowings'],51.2895,6.76678,3138.2,4h 18m
SZX,D,Shenzhen Baoan Int.,Shenzhen,China,['Hainan Airlines'],22.6393,113.811,7713.0,9h 40m
TIV,A,Tivat,Tivat,Montenegro,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines']",42.4047,18.7233,1835.7,2h 48m
LIS,D,Lisbon,Lisbon,Portugal,"['Air Portugal', 'Arkia Israeli Airlines', 'El Al Israel Airlines']",38.7813,-9.13592,4029.8,5h 20m
VCE,A,Venice,Venice,Italy,['El Al Israel Airlines'],45.5053,12.3519,2451.5,3h 29m
BRU,A,Brussels,Brussels,Belgium,['Brussels Airlines'],50.9014,4.48444,3254.6,4h 26m
MRS,A,Marseille,Marseille,France,"['Air France', 'Air Portugal', 'El Al Israel Airlines', 'Transavia France']",43.43927,5.22142,2885.8,4h
TIA,A,Tirana,Tirana,Albania,"['Arkia Israeli Airlines', 'El Al Israel Airlines', 'Israir Airlines']",41.4147,19.7206,1706.1,2h 38m
BRU,D,Brussels,Brussels,Belgium,['Brussels Airlines'],50.9014,4.48444,3254.6,4h 26m
ORD,A,Chicago - O'hare,Chicago,United States,['United Airlines'],41.97694,-87.90815,9945.9,12h 18m
MIA,A,Miami International,Miami,United States,"['Aerolineas Argentinas S.a.', 'Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation']",25.79536,-80.29012,10627.1,13h 6m
CPH,A,Copenhagen Kastrup,Copenhagen,Denmark,['Sas'],55.6179,12.656,3144.8,4h 18m
CPH,D,Copenhagen Kastrup,Copenhagen,Denmark,['Sas'],55.6179,12.656,3144.8,4h 18m
